City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country
292,Prince Rupert,54.3161,-130.3201,overcast clouds,42.8,75,90,4.61,CA
293,Sassandra,4.95,-6.0833,light rain,78.4,90,30,5.79,CI
294,Aksarka,66.5606,67.7975,light snow,29.73,98,100,4.99,RU
295,Palmer,42.1584,-72.3287,few clouds,59.0,23,20,17.27,US
296,Sioux Lookout,50.1001,-91.917,broken clouds,55.4,28,75,9.22,CA
297,Point Fortin,10.1833,-61.6833,broken clouds,84.99,76,69,1.01,TT
298,Labuhan,-6.8844,112.2051,overcast clouds,77.58,85,100,5.68,ID
299,San Patricio,28.017,-97.5169,scattered clouds,78.01,57,40,13.8,US
300,Kirkenes,69.7271,30.0458,broken clouds,33.8,100,75,13.8,NO
301,Tutoia,-2.7619,-42.2744,overcast clouds,79.05,87,90,12.06,BR
302,High Level,58.5169,-117.136,scattered clouds,42.8,31,40,14.97,CA
303,Fare,-16.7,-151.0167,few clouds,81.64,76,12,12.12,PF
304,Clyde River,70.4692,-68.5914,clear sky,-9.4,77,1,6.91,CA
305,Mitsamiouli,-11.3847,43.2844,broken clouds,82.13,75,54,7.07,KM
306,Broken Hill,-31.95,141.4333,clear sky,60.8,55,0,8.05,AU
307,Kavieng,-2.5744,150.7967,moderate rain,79.38,81,96,6.46,PG
308,Samarai,-10.6167,150.6667,scattered clouds,82.47,79,49,6.8,PG
309,Chicama,-7.8447,-79.1469,few clouds,73.4,83,20,10.36,PE
310,Marrakesh,31.6315,-8.0083,clear sky,69.8,37,0,5.75,MA
311,Popondetta,-8.7537,148.2534,overcast clouds,75.34,82,100,2.48,PG
312,Presidencia Roque Saenz Pena,-26.7852,-60.4388,overcast clouds,80.78,59,100,5.59,AR
313,Zyryanka,65.75,150.85,overcast clouds,-1.89,95,100,8.59,RU
314,Waingapu,-9.6567,120.2641,heavy intensity rain,76.66,85,100,11.61,ID
315,Diamantino,-14.4086,-56.4461,broken clouds,83.12,74,64,3.98,BR
316,Ust-Nera,64.5667,143.2,overcast clouds,0.59,97,100,7.47,RU
317,Shimoda,34.6667,138.95,light intensity drizzle,63.0,100,75,6.31,JP
318,Sao Joao Da Barra,-21.6403,-41.0511,few clouds,80.6,65,20,13.8,BR
319,Luanda,-8.8368,13.2343,few clouds,78.8,83,20,6.91,AO
320,Garoua Boulai,5.8833,14.55,overcast clouds,79.7,36,99,2.86,CM
321,Bethel,41.3712,-73.414,clear sky,59.0,32,9,4.0,US
322,Lamar,33.6668,-95.5836,overcast clouds,69.01,64,90,10.36,US
323,Parana,-31.732,-60.5238,scattered clouds,86.0,41,35,3.0,AR
324,San Policarpo,12.1791,125.5072,overcast clouds,81.43,65,100,9.98,PH
325,Lakes Entrance,-37.8811,147.981,overcast clouds,57.99,96,100,8.57,AU
326,Ponta Do Sol,32.6667,-17.1,broken clouds,57.0,62,81,1.01,PT
327,Cap Malheureux,-19.9842,57.6142,clear sky,80.01,78,5,5.99,MU
328,Bembereke,10.2283,2.6634,broken clouds,84.33,15,73,3.31,BJ
329,Amga,60.8953,131.9608,overcast clouds,-18.38,100,100,1.45,RU
330,Sao Paulo De Olivenca,-3.3783,-68.8725,overcast clouds,80.1,88,86,3.04,BR
331,Boditi,6.9667,37.8667,few clouds,60.69,72,19,2.01,ET
332,Conde,-7.2597,-34.9075,scattered clouds,82.4,83,40,9.22,BR
333,Shingu,33.7333,135.9833,overcast clouds,56.5,90,100,8.46,JP
334,Marystown,47.1666,-55.1483,overcast clouds,43.66,92,100,17.94,CA
335,Whitehorse,60.7161,-135.0538,broken clouds,35.6,55,75,14.97,CA
336,Nuevo Progreso,23.1667,-97.95,broken clouds,79.0,50,74,8.99,MX
337,Salinopolis,-0.6136,-47.3561,broken clouds,79.75,84,82,11.1,BR
338,Deputatskiy,69.3,139.9,overcast clouds,-5.89,97,100,2.1,RU
339,Zlocieniec,53.5329,16.0113,broken clouds,41.0,75,65,3.0,PL
340,Lasa,46.6166,10.7002,clear sky,53.6,56,0,3.44,IT
341,Yulara,-25.2406,130.9889,clear sky,62.6,48,0,6.91,AU
342,San Juan,-31.5375,-68.5364,broken clouds,85.23,32,62,5.86,AR
343,Darhan,49.4867,105.9228,clear sky,34.27,66,1,6.64,MN
344,Ahuimanu,21.4447,-157.8378,light rain,73.4,83,90,12.66,US
345,Caravelas,-17.7125,-39.2481,broken clouds,77.38,76,68,8.05,BR
